Order | Stepsize (1eX) | Bounds (1eX) | Integral | Error | NormConst 
2 | 4 | 3 | -0.133333 | -0.187283 | -7.5
2 | 4 | 4 | -1.33333 | -1.38728 | -0.75
2 | 4 | 5 | -13.3333 | -13.3873 | -0.075
2 | 4 | 6 | -133.333 | -133.387 | -0.0075
2 | 4 | 7 | -1333.33 | -1333.39 | -0.00075
2 | 4 | 8 | -13333.3 | -13333.4 | -7.5e-05
2 | 4 | 9 | -133333 | -133333 | -7.5e-06
2 | 4 | 10 | -1.33333e+06 | -1.33333e+06 | -7.5e-07
2 | 5 | -6 | -4e-06 | -0.0539534 | -250000
2 | 5 | -5 | -4e-05 | -0.0539894 | -25000
2 | 5 | -4 | -0.000399971 | -0.0543494 | -2500.18
2 | 5 | -3 | -0.00397128 | -0.0579207 | -251.808
2 | 5 | -2 | -0.0170313 | -0.0709807 | -58.7155
2 | 5 | -1 | 0.0539494 | 4.37449e-08 | 18.5359
2 | 5 | 0 | 0.0539494 | 4.37449e-08 | 18.5359
2 | 5 | 1 | 0.0539494 | 4.37449e-08 | 18.5359
2 | 5 | 2 | 0.0539494 | 4.37449e-08 | 18.5359
2 | 5 | 3 | 0.0565413 | 0.0025919 | 17.6862
2 | 5 | 4 | -0.133333 | -0.187283 | -7.5
2 | 5 | 5 | -1.33333 | -1.38728 | -0.75
2 | 5 | 6 | -13.3333 | -13.3873 | -0.075
2 | 5 | 7 | -133.333 | -133.387 | -0.0075
2 | 5 | 8 | -1333.33 | -1333.39 | -0.00075
2 | 5 | 9 | -13333.3 | -13333.4 | -7.5e-05
2 | 5 | 10 | -133333 | -133333 | -7.5e-06
2 | 6 | -6 | -4e-06 | -0.0539534 | -250000
2 | 6 | -5 | -4e-05 | -0.0539894 | -25000
2 | 6 | -4 | -0.000399971 | -0.0543494 | -2500.18
2 | 6 | -3 | -0.00397128 | -0.0579207 | -251.808
2 | 6 | -2 | -0.0170313 | -0.0709807 | -58.7155
2 | 6 | -1 | 0.0539494 | 4.37449e-08 | 18.5359
2 | 6 | 0 | 0.0539494 | 4.37449e-08 | 18.5359
2 | 6 | 1 | 0.0539494 | 4.37449e-08 | 18.5359
2 | 6 | 2 | 0.0539494 | 4.37449e-08 | 18.5359
2 | 6 | 3 | 0.0539494 | 4.37449e-08 | 18.5359
2 | 6 | 4 | 0.0565413 | 0.0025919 | 17.6862
